CODIGO_PRODUTO,GIRO_MEDIO_DIAS,TOTAL_ENTRADAS,GIRO_MEDIO_MESES,CLASSIFICACAO_GIRO,2023,2024,2025,2026,TENDENCIA,TENDENCIA_PERC
CM007031,90.0,2,3.0,MEDIO,0.0,2.0833333333333335,0.0,0.0,0.0,0.0
CM007035,72.5,13,2.4166666666666665,MEDIO,23.166666666666668,10.833333333333334,8.333333333333334,0.0,-14.833333333333334,-0.6402877697841727
CM007097,101.125,9,3.370833333333333,BAIXO,0.5,0.5,0.08333333333333333,0.0,-0.4166666666666667,-0.8333333333333334
CM007112,46.0,2,1.5333333333333334,MEDIO,3.3333333333333335,0.0,0.0,0.0,-3.3333333333333335,-1.0
CM007158,167.6,6,5.586666666666667,BAIXO,2.0,3.5,1.6666666666666667,0.0,-0.33333333333333326,-0.16666666666666663
CM007202,6.0,2,0.2,ALTO,0.0,2.6666666666666665,0.0,0.0,0.0,0.0
CM007241,120.6,6,4.02,BAIXO,0.0,6.25,1.6666666666666667,0.0,1.6666666666666667,1.6666666666666667
CM007245,161.8,6,5.3933333333333335,BAIXO,2.5,3.5,1.6666666666666667,0.0,-0.8333333333333333,-0.3333333333333333
CM007249,151.0,3,5.033333333333333,BAIXO,0.0,3.3333333333333335,0.0,0.0,0.0,0.0
CM007263,105.5,3,3.5166666666666666,BAIXO,0.8333333333333334,1.0,0.0,0.0,-0.8333333333333334,-1.0
CM007265,155.0,3,5.166666666666667,BAIXO,0.0,1.8333333333333333,1.0,0.0,1.0,1.0
CM007269,99.0,2,3.3,BAIXO,0.0,2.1666666666666665,0.0,0.0,0.0,0.0
CM007275,107.0,2,3.566666666666667,BAIXO,0.0,0.8333333333333334,1.0,0.0,1.0,1.0
CM007276,80.0,3,2.6666666666666665,MEDIO,0.0,2.6666666666666665,0.0,0.0,0.0,0.0
CM007287,42.0,2,1.4,ALTO,0.0,2.8333333333333335,0.0,0.0,0.0,0.0
CM007295,150.33333333333334,4,5.011111111111111,BAIXO,0.0,3.1666666666666665,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334
CM007314,57.94444444444444,19,1.9314814814814814,MEDIO,19.166666666666668,12.5,17.5,0.0,-1.6666666666666679,-0.08695652173913049
CM007349,180.0,5,6.0,BAIXO,4.583333333333333,1.8333333333333333,1.6666666666666667,0.0,-2.916666666666666,-0.6363636363636362
CM007353,112.0,2,3.7333333333333334,BAIXO,0.0,0.08333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
CM007389,156.0,4,5.2,BAIXO,11.0,10.0,0.0,0.0,-11.0,-1.0
CM007501,136.83333333333334,7,4.561111111111112,BAIXO,4.166666666666667,5.833333333333333,5.833333333333333,0.0,1.666666666666666,0.39999999999999986
CM007506,130.375,9,4.345833333333333,BAIXO,2.5,7.5,6.666666666666667,0.0,4.166666666666667,1.6666666666666667
CM007539,137.71428571428572,8,4.590476190476191,BAIXO,2.75,0.8333333333333334,1.8333333333333333,0.0,-0.9166666666666667,-0.33333333333333337
CM007566,100.33333333333333,4,3.344444444444444,BAIXO,0.3333333333333333,0.08333333333333333,0.0,0.0,-0.3333333333333333,-1.0
CM007584,55.888888888888886,19,1.862962962962963,MEDIO,2.25,4.083333333333333,5.5,0.0,3.25,1.4444444444444444
CM007599,139.42857142857142,8,4.647619047619047,BAIXO,0.5,0.6666666666666666,1.4166666666666667,0.0,0.9166666666666667,1.8333333333333335
CM007600,172.66666666666666,4,5.7555555555555555,BAIXO,0.25,0.8333333333333334,0.4166666666666667,0.0,0.16666666666666669,0.6666666666666667
CM007618,128.33333333333334,7,4.277777777777778,BAIXO,2.8333333333333335,2.9166666666666665,3.75,0.0,0.9166666666666665,0.3235294117647058
CM007622,173.0,6,5.766666666666667,BAIXO,62.0,12.0,9.0,0.0,-53.0,-0.8548387096774194
CM007624,30.0,2,1.0,ALTO,0.0,0.0,4.166666666666667,0.0,4.166666666666667,4.166666666666667
CM007636,175.0,4,5.833333333333333,BAIXO,0.03333333333333333,0.041666666666666664,0.03333333333333333,0.0,0.0,0.0
CM007638,151.0,5,5.033333333333333,BAIXO,0.075,0.15,0.0,0.0,-0.075,-1.0
CM007644,17.0,2,0.5666666666666667,ALTO,2.6666666666666665,0.0,0.0,0.0,-2.6666666666666665,-1.0
CM007653,99.11111111111111,10,3.303703703703704,BAIXO,8.0,14.0,9.333333333333334,0.0,1.333333333333334,0.16666666666666674
CM007661,161.0,2,5.366666666666666,BAIXO,0.0,0.0,0.25,0.0,0.25,0.25
CM007726,79.23076923076923,14,2.641025641025641,MEDIO,11.333333333333334,13.0,14.5,0.0,3.166666666666666,0.2794117647058823
CM007730,114.0,2,3.8,BAIXO,0.0,0.0,18.0,0.0,18.0,18.0
CM007739,143.4,6,4.78,BAIXO,2.5,2.9166666666666665,4.333333333333333,0.0,1.833333333333333,0.7333333333333332
CM007764,55.05263157894737,20,1.8350877192982458,MEDIO,3.8333333333333335,9.0,8.166666666666666,0.0,4.333333333333332,1.1304347826086953
