RAZAO_FORNECEDOR,avg_lead_time,std_lead_time,recurrence,total_spent,total_products_value,total_discount,discount_rate,avg_item_price,score,rating,classificacao
MARINHEIRO E SILVA LTDA,0.0,0.0,2,630.0,630.0,0.0,0.0,315.0,0.40135135134526423,4,Bom
MARTINS COMERCIO E SERVICOS DE DISTRIBUICAO S.A,3.6842105263157894,3.2838431343464247,19,57510.56,57373.85,0.0,0.0,102.42003125000001,0.4174699790813973,5,Ótimo / Recomendado
MARTINS COMERCIO E SERVICOS DE DISTRIBUICAO SA,3.2,2.16794833886788,5,49606.81,49569.01,0.0,0.0,18.100903846153848,0.39945191703665434,3,Médio
MARYANNA ICHII PAIM COSTA EIRELI,5.4,14.36198686347633,10,13130.0,13130.0,0.0,0.0,570.2221999999999,0.40211565052619863,4,Bom
MASTER INDUSTRIA E COMERCIO DE CONEXOES LTDA,2.5714285714285716,1.7182493859684491,7,8619.49,8619.49,0.0,0.0,14.186078431372549,0.4033240549376903,4,Bom
MASTER PECAS LTDA - BATERAUTO,1.0,0.0,2,780.0,780.0,0.0,0.0,171.5,0.39949088623763845,3,Médio
MASTER PNEUS RECAPAGEM,0.0,0.0,1,2490.0,2490.0,0.0,0.0,2490.0,0.4,3,Médio
MED SHOP ARTIGOS PARA SAUDE LTDA,0.0,0.0,1,3890.0,3890.0,0.0,0.0,3890.0,0.4,3,Médio
MEFERTEC INDUSTRIA E COMERCIO LTDA - ME,0.0,0.0,1,2320.56,2320.56,0.0,0.0,29.611428571428572,0.4,3,Médio
MEGA DISTRIBUIDORA,1.0,0.0,1,680.0,680.0,0.0,0.0,34.0,0.39813953489237425,3,Médio
MEGA METAIS HIDRAULICOS LTDA,8.5,7.7781745930520225,2,10465.18,10465.18,0.0,0.0,23.959605263157897,0.3855373979304454,1,Ruim / Não recomendado
MEGAFLEX MANGUEIRAS E CONEXOES LTDA-ME,1.2105263157894737,0.9441278407182268,95,126032.70999999999,126040.20999999999,7.5,5.950481992961211e-05,18.4448927943761,0.5248253808232972,5,Ótimo / Recomendado
MEGATECH COMERCIO DE PRODUTOS E INFORMATICA,6.285714285714286,14.465064646868855,7,2023.0,2010.0,0.0,0.0,274.2857142857143,0.39641375596650896,3,Médio
MEGATECNOLOGIA IMPLEMENTOS RODOVIARIOS LTDA,0.2857142857142857,0.4879500364742666,7,11464.2,11464.2,0.0,0.0,95.76730769230768,0.40757654661226345,4,Bom
MENKAR EQUIPAMENTOS E ACESSORIOS INDUSTRIAIS LTDA,6.333333333333333,4.932882862316247,3,4214.4,3719.4,0.0,0.0,158.96,0.39091975700889864,2,Ruim / Não recomendado
MERTZ E GLAESER LTDA,7.05,4.989198859852942,20,118443.27,118321.77,0.0,0.0,206.92716783216784,0.412559396551258,5,Ótimo / Recomendado
METAIS NOBRES LTDA,1.4,0.5477225575051662,5,3388.0,3426.33,38.33,0.011186896763829843,50.555,0.41229405834828364,4,Bom
METAL COM PECAS TRATORES IMP LTDA ME,2.0,0.0,1,845.0,845.0,0.0,0.0,211.25,0.3962790697847485,3,Médio
METAL TECNICA BOVENAU LTDA,9.0,0.0,1,4649.4,4649.4,0.0,0.0,1162.35,0.3832558140313683,1,Ruim / Não recomendado
METALBAUER IND DE PECAS AGRICOLAS LTDA,12.0,0.0,1,1476.83,1439.41,0.0,0.0,1439.414,0.37767441870849106,1,Ruim / Não recomendado
METALBO INDUSTRIA DE FIXADORES METALICOS LTDA,8.88888888888889,2.6193722742502854,9,144132.42,135335.6,0.0,0.0,116.95975490196079,0.39427334313877355,2,Ruim / Não recomendado
METALMATRIX INDUSTRIA METALURGICA LTDA,9.0,0.0,1,4460.09,4247.7,0.0,0.0,576.2890769230769,0.3832558140313683,1,Ruim / Não recomendado
METALPAMA INDUSTRIA E COMERCIO LTDA,0.0,0.0,1,1260.71,1260.71,0.0,0.0,420.237,0.4,3,Médio
METALURGICA FERCAR LTDA,6.333333333333333,4.163331998932265,3,25279.49,24178.100000000002,0.0,0.0,105.6776923076923,0.39091975700889864,2,Ruim / Não recomendado
METALURGICA FEY LTDA,8.545454545454545,3.142089634737888,11,32230.870000000003,30263.75,0.0,0.0,335.7559866666667,0.3976149934420219,3,Médio
METALURGICA SAO RAPHAEL LTDA,6.0,0.0,2,18301.54,16702.91,0.0,0.0,13.91,0.3901885606995098,2,Ruim / Não recomendado
METTA DISTRIBUIDORA DE PECAS LTDA,1.0,0.0,1,336.96,336.96,0.0,0.0,33.696,0.39813953489237425,3,Médio
MEXICHEM BRASIL INDUSTRIA DE TRANSFORMACAO PLASTIC,4.75,6.849574196011505,4,6493.179999999999,6493.179999999999,0.0,0.0,13.8435,0.3952168447745703,2,Ruim / Não recomendado
